"id","startDate","index","distance","elapsedTime","timePerMile"
1515178313,"2018-04-18",5,1609,436,436.09
1515178313,"2018-04-18",6,343.9,90,421.17
1519529829,"2018-04-20",1,1611.3,491,490.4
1519529829,"2018-04-20",2,1609.2,462,462.04
1519529829,"2018-04-20",3,1610.6,445,444.65
1519529829,"2018-04-20",4,1609.6,434,433.93
1519529829,"2018-04-20",5,472.2,122,415.8
1523654790,"2018-04-22",1,1609.8,423,422.88
1523654790,"2018-04-22",2,1611.2,475,474.45
1523654790,"2018-04-22",3,1608.6,469,469.22
1523654790,"2018-04-22",4,1608.4,465,465.27
1523654790,"2018-04-22",5,1611.1,473,472.48
1523654790,"2018-04-22",6,1607.4,450,450.54
1523654790,"2018-04-22",7,235.4,64,437.54
1526257736,"2018-04-23",1,1614.2,441,439.67
1526257736,"2018-04-23",2,1607.1,466,466.65
