energyType,epochTimestamp,kWh,dateTime
gas,1672920000,0.0,2023-01-05T12:00:00Z
electricity,1672921800,0.398,2023-01-05T12:30:00Z
gas,1672921800,0.0,2023-01-05T12:30:00Z
electricity,1672923600,0.603,2023-01-05T13:00:00Z
gas,1672923600,0.0,2023-01-05T13:00:00Z
electricity,1672925400,1.189,2023-01-05T13:30:00Z
gas,1672925400,0.0,2023-01-05T13:30:00Z
electricity,1672927200,0.723,2023-01-05T14:00:00Z
gas,1672927200,0.0,2023-01-05T14:00:00Z
electricity,1672929000,1.213,2023-01-05T14:30:00Z
gas,1672929000,0.0,2023-01-05T14:30:00Z
electricity,1672930800,1.588,2023-01-05T15:00:00Z
gas,1672930800,0.0,2023-01-05T15:00:00Z
electricity,1672932600,1.297,2023-01-05T15:30:00Z
gas,1672932600,0.0,2023-01-05T15:30:00Z
electricity,1672934400,0.951,2023-01-05T16:00:00Z
gas,1672934400,0.0,2023-01-05T16:00:00Z
electricity,1672936200,0.619,2023-01-05T16:30:00Z
gas,1672936200,0.0,2023-01-05T16:30:00Z
electricity,1672938000,1.192,2023-01-05T17:00:00Z
gas,1672938000,13.367,2023-01-05T17:00:00Z
electricity,1672939800,0.256,2023-01-05T17:30:00Z
gas,1672939800,8.14,2023-01-05T17:30:00Z
electricity,1672941600,0.514,2023-01-05T18:00:00Z
gas,1672941600,10.92,2023-01-05T18:00:00Z
electricity,1672943400,0.827,2023-01-05T18:30:00Z
gas,1672943400,1.283,2023-01-05T18:30:00Z
electricity,1672945200,1.772,2023-01-05T19:00:00Z
gas,1672945200,5.123,2023-01-05T19:00:00Z
electricity,1672947000,1.513,2023-01-05T19:30:00Z
gas,1672947000,4.393,2023-01-05T19:30:00Z
electricity,1672948800,1.458,2023-01-05T20:00:00Z
gas,1672948800,12.333,2023-01-05T20:00:00Z
electricity,1672950600,0.957,2023-01-05T20:30:00Z
gas,1672950600,12.365,2023-01-05T20:30:00Z
electricity,1672952400,0.196,2023-01-05T21:00:00Z
gas,1672952400,15.646,2023-01-05T21:00:00Z
electricity,1672954200,0.678,2023-01-05T21:30:00Z
gas,1672954200,4.185,2023-01-05T21:30:00Z
electricity,1672956000,0.335,2023-01-05T22:00:00Z
gas,1672956000,0.0,2023-01-05T22:00:00Z
electricity,1672957800,0.549,2023-01-05T22:30:00Z
gas,1672957800,0.0,2023-01-05T22:30:00Z
electricity,1672959600,0.327,2023-01-05T23:00:00Z
gas,1672959600,0.0,2023-01-05T23:00:00Z
electricity,1672961400,1.598,2023-01-05T23:30:00Z
gas,1672961400,0.0,2023-01-05T23:30:00Z
electricity,1672963200,0.894,2023-01-06T00:00:00Z
gas,1672963200,0.0,2023-01-06T00:00:00Z
electricity,1672965000,1.05,2023-01-06T00:30:00Z
gas,1672965000,0.0,2023-01-06T00:30:00Z
electricity,1672966800,1.239,2023-01-06T01:00:00Z
gas,1672966800,0.0,2023-01-06T01:00:00Z
electricity,1672968600,0.386,2023-01-06T01:30:00Z
gas,1672968600,0.0,2023-01-06T01:30:00Z
electricity,1672970400,1.567,2023-01-06T02:00:00Z
gas,1672970400,0.0,2023-01-06T02:00:00Z
electricity,1672972200,0.82,2023-01-06T02:30:00Z
gas,1672972200,0.0,2023-01-06T02:30:00Z
electricity,1672974000,0.273,2023-01-06T03:00:00Z
gas,1672974000,0.0,2023-01-06T03:00:00Z
electricity,1672975800,1.109,2023-01-06T03:30:00Z
gas,1672975800,0.0,2023-01-06T03:30:00Z
electricity,1672977600,1.188,2023-01-06T04:00:00Z
gas,1672977600,0.0,2023-01-06T04:00:00Z
electricity,1672979400,1.271,2023-01-06T04:30:00Z
gas,1672979400,0.0,2023-01-06T04:30:00Z
electricity,1672981200,0.316,2023-01-06T05:00:00Z
gas,1672981200,0.315,2023-01-06T05:00:00Z
electricity,1672983000,1.357,2023-01-06T05:30:00Z
gas,1672983000,7.242,2023-01-06T05:30:00Z
electricity,1672984800,1.005,2023-01-06T06:00:00Z
